n,std_average,std_worst
298,0.000284334,0.003253959
299,0.000294542,0.003283666
300,0.000322084,0.003299084
301,0.000305416,0.00331225
302,0.000297458,0.003342208
303,0.000305291,0.003352542
304,0.000306917,0.00338275
305,0.000302958,0.003398083
306,0.000291666,0.0034145
307,0.000303583,0.003478875
308,0.000331583,0.003456959
309,0.000302541,0.003477208
310,0.000292417,0.003518959
311,0.000290583,0.003564333
312,0.000348,0.003606375
313,0.000312375,0.003619042
314,0.00031625,0.003598375
315,0.000311042,0.003619375
316,0.000300875,0.003633917
317,0.000310875,0.003658375
318,0.000319083,0.00368075
319,0.000303708,0.003709209
320,0.000320167,0.0037275
321,0.0002985,0.003751417
322,0.000339084,0.003772709
323,0.000333625,0.003816291
324,0.000317125,0.003811333
325,0.00032475,0.003837917
326,0.0003255,0.0038775
327,0.0003145,0.00389425
328,0.000329917,0.003904958
329,0.000318917,0.00392175
330,0.000342459,0.003956209
331,0.000335625,0.00397325
332,0.000328833,0.00399325
333,0.000339167,0.004018584
334,0.000313167,0.004046875
335,0.000333667,0.004068584
336,0.000317417,0.004141959
337,0.000343458,0.004121625
338,0.000331083,0.004150833
339,0.000328583,0.004147333
340,0.000307,0.004184416
341,0.000325459,0.004215125
342,0.00033725,0.004217459
343,0.000355083,0.004249042
344,0.000357125,0.004274291
345,0.000335,0.004307333
346,0.000336708,0.0043235
347,0.000326,0.004346917
348,0.00032875,0.004363125
349,0.000346042,0.004397625
350,0.0003485,0.004411791
351,0.000333958,0.00445075
352,0.000341917,0.004479333
353,0.000365875,0.00448125
354,0.000347667,0.004516292
355,0.000331834,0.004539291
356,0.000357667,0.00456475
357,0.000360375,0.004585917
358,0.000356792,0.00460825
359,0.000361417,0.0046215
360,0.000387875,0.004668666
361,0.00035875,0.004678833
362,0.000423541,0.004698333
363,0.00035625,0.004723
364,0.000371541,0.0047885
365,0.000355167,0.004782791
366,0.000351083,0.00480775
367,0.000378416,0.004871833
368,0.00037175,0.004850666
369,0.00038475,0.004885709
370,0.000359833,0.004921208
371,0.000384833,0.004929417
372,0.000436875,0.0049455
373,0.00038575,0.004990083
374,0.000373209,0.005012959
375,0.00037375,0.005033959
376,0.000386208,0.005074708
377,0.000378041,0.005079
378,0.000394416,0.005111083
379,0.000375083,0.005350417
380,0.000375375,0.005271584
381,0.000402708,0.005190166
382,0.000384084,0.005221417
383,0.000369584,0.005410917
384,0.000396709,0.005365417
385,0.000391542,0.005296042
386,0.000357417,0.0053245
387,0.000378583,0.005354958
388,0.000405292,0.005366833
389,0.000437667,0.005367959
390,0.000387,0.005448875
391,0.000406833,0.00543975
392,0.000361375,0.005459667
393,0.000388917,0.005509375
394,0.000409208,0.005520125
395,0.000395084,0.005554375
396,0.000395292,0.005577875
397,0.000423375,0.005607375
398,0.000406125,0.005617917
399,0.00040225,0.005658958
400,0.000400875,0.005679667
401,0.000425958,0.005692542
402,0.000407792,0.005722875
403,0.000403167,0.00575175
404,0.000410584,0.005784375
405,0.000421958,0.005828458
406,0.000403833,0.005857875
407,0.000403667,0.005885083
408,0.000414,0.005925791
409,0.000446709,0.005906459
410,0.000416041,0.005954417
411,0.000449292,0.005956375
412,0.000432625,0.006016083
413,0.000397042,0.006039833
414,0.000428209,0.006069875
415,0.000410417,0.006106292
416,0.000446917,0.006111459
417,0.000454958,0.0061335
418,0.0004205,0.006178333
419,0.000483541,0.006197667
420,0.000411791,0.0062295
421,0.000423291,0.006259917
422,0.000456458,0.00637275
423,0.00041525,0.00639375
424,0.000444834,0.006819917
425,0.000431584,0.012226125
426,0.000479125,0.006486875
427,0.000447917,0.00656375
428,0.000448041,0.006536584
429,0.000446167,0.00657275
430,0.000441375,0.006617708
431,0.000446708,0.006631
432,0.000426541,0.006658833
433,0.000482584,0.0066955
434,0.000443958,0.006726833
435,0.000455792,0.006752375
436,0.000449083,0.006783375
437,0.000441584,0.006820041
438,0.000461167,0.006847625
439,0.000434166,0.00704125
440,0.000522417,0.007453209
441,0.000495792,0.007404917
442,0.000461208,0.007410292
443,0.000460292,0.007614042
444,0.000482542,0.007584417
445,0.000494833,0.008324958
446,0.00059775,0.009562667
447,0.000598208,0.008731958
448,0.000568084,0.008138541
449,0.000510959,0.009211792
450,0.000944083,0.00816125
451,0.000524416,0.007669917
452,0.000509667,0.007508
453,0.000490042,0.007418542
454,0.000503917,0.007375917
455,0.000512334,0.007381667
456,0.00047525,0.007452875
457,0.000470458,0.007453958
458,0.000461167,0.007433875
459,0.000489125,0.007494875
460,0.000492959,0.007510125
461,0.000456584,0.007546541
462,0.000472666,0.007555208
463,0.000484625,0.007617291
464,0.000494042,0.007627458
465,0.000508667,0.007643625
466,0.000518125,0.007676125
467,0.000482,0.00773
468,0.000470083,0.00776525
469,0.000467,0.007795208
470,0.00049025,0.007945542
471,0.000501292,0.007879
472,0.000502542,0.0079
473,0.000498584,0.007912125
474,0.000490083,0.0079515
475,0.000463083,0.007963375
476,0.000503792,0.008044125
477,0.000490958,0.008033125
478,0.000510917,0.008072167
479,0.000507167,0.008119417
