factor,std,dual,tri,quad
0.38,0.0007204169999999177,0.0005414999999999726,0.0005676250000000715,0.0005456670000000274
0.39,0.0007092500000001056,0.0005582920000000158,0.0005610830000000178,0.000536082999999965
0.4,0.0006187089999999396,0.0005210000000001047,0.0005064590000000146,0.0004844999999999988
0.41,0.0006777500000000325,0.0005733749999999871,0.0005291669999999415,0.0005358340000000128
0.42,0.000775167000000021,0.000607499999999983,0.0005708749999999707,0.000549624999999998
0.43,0.0007223750000000528,0.0005952500000000471,0.0005923340000000277,0.0005559170000000169
0.44,0.0005976669999999684,0.0004974589999999779,0.0005037079999999916,0.00047429100000007107
0.45,0.0008300419999999198,0.0006898749999999509,0.000653875000000026,0.00061975000000003
0.46,0.0005912499999999321,0.0005427499999999252,0.0005355839999999779,0.000541875000000025
0.47,0.0009352089999999924,0.0007211670000000225,0.0007287910000000064,0.0006786669999999662
0.48,0.0007023329999999994,0.0005574999999999886,0.0005377920000000369,0.000528416000000087
0.49,0.0006387920000000546,0.0005306250000000068,0.000533875000000017,0.0005117090000000823
0.5,0.000577958000000045,0.0004978340000000303,0.00045366700000004645,0.00046666600000000447
0.51,0.0006048750000000602,0.000505209000000062,0.0004998330000000051,0.0005054999999999366
0.52,0.000578540999999988,0.0004967919999999681,0.0004657080000000091,0.0005109159999999724
0.53,0.0007205410000000745,0.0005922499999999609,0.0005570000000000297,0.0005493750000000741
0.54,0.0006011660000000418,0.0004915420000000115,0.0004871670000000661,0.00045716699999998056
0.55,0.0006241670000000088,0.0005010829999999578,0.0004952080000000247,0.000495416999999998
0.56,0.0006004999999998928,0.0005085410000000845,0.0004981250000000159,0.00045958299999993013
0.57,0.0006632500000000041,0.0005778339999999993,0.0005235839999999659,0.0005424579999999679
0.58,0.0005986249999999638,0.0004909589999999575,0.00045962499999996353,0.00044404200000003335
0.59,0.0006035420000000125,0.0005095830000000356,0.0004666669999999762,0.00043954099999998775
0.6,0.0006132500000000096,0.0004917090000000623,0.0004594589999999954,0.0004399170000000119
0.61,0.0006514579999999937,0.0005539160000000987,0.0005038750000000425,0.0005035419999999124
0.62,0.0007161669999999898,0.0005672909999999698,0.0005374590000000179,0.0005463749999999878
0.63,0.0005645420000000012,0.0004935830000000196,0.0004692909999999273,0.000499750000000021
0.64,0.0006304999999999783,0.0005207500000000698,0.0005122499999999919,0.0004828749999999937
0.65,0.0006187500000000012,0.0004937499999999595,0.0004829169999999161,0.00046354199999998347
0.66,0.0005886670000000427,0.0004939999999999944,0.0004588749999999697,0.000435749999999957
0.67,0.000593542000000058,0.0004985840000000241,0.0004617500000000385,0.0004263750000000899
0.68,0.000549958000000017,0.0004642500000000549,0.00043724999999994463,0.0004146660000000635
0.69,0.0006183330000000264,0.0005722080000000185,0.000500959000000023,0.00046891700000006864
0.7,0.000580083000000009,0.0005040419999999823,0.00045812500000008693,0.0004475000000000451
0.71,0.0005743329999999824,0.0004857080000000291,0.00046599999999996644,0.0004510420000000126
0.72,0.0006435420000000525,0.0005328749999999882,0.0005300000000000304,0.0005055840000000034
0.73,0.0005902919999999368,0.0005180830000000025,0.00047274999999991074,0.000480082999999909
0.74,0.000625291999999944,0.0005213330000000127,0.000504666000000098,0.0005021660000000816
0.75,0.0006404580000000104,0.0005545829999999974,0.0005225829999999654,0.0005421249999999489
0.76,0.0006128330000000348,0.0005203750000000174,0.00047162499999997554,0.0004656659999999757
0.77,0.0005417500000000075,0.0004680409999999746,0.00042775000000006,0.00042324999999998614
0.78,0.0006147910000000589,0.0005082079999999545,0.0004935000000000356,0.0004782090000000627
0.79,0.0006461250000000529,0.0005305829999999734,0.0005197909999999917,0.0005260409999999771
0.8,0.0005902919999999368,0.0004950409999999739,0.0004810839999999095,0.000498541000000019
0.81,0.0006134579999999001,0.0005368329999999588,0.0005155000000000021,0.0004845420000000322
0.82,0.0005399589999999233,0.0004603340000000067,0.00045304099999998737,0.00044608400000001325
0.83,0.0005840000000000289,0.0005039579999999155,0.00046345799999991666,0.0004402920000000643
0.84,0.0005979999999999874,0.0005042499999999839,0.00046441600000002303,0.00045520799999998474
0.85,0.0005857500000000515,0.0004953330000000422,0.0004892499999999966,0.00046604199999999985
0.86,0.0005966670000000507,0.0005019160000000467,0.0005073750000000876,0.0004537079999999971
0.87,0.0005907500000000843,0.0004994590000000354,0.000477875000000072,0.000477624999999926
0.88,0.0005452499999999416,0.00046037499999995735,0.00042929199999997003,0.0004402919999999533
0.89,0.0005487920000000202,0.0004606249999999923,0.0004452079999999192,0.0004242079999999815
0.9,0.0005789999999999962,0.0004765420000000242,0.0004526670000000177,0.0004508329999999283
0.91,0.000570207999999961,0.0004854590000000769,0.0004496659999999597,0.0004352919999999205
0.92,0.0005506250000000268,0.0004805410000000565,0.00045920799999998874,0.0004146250000000018
0.93,0.0006177499999999725,0.0005300000000000304,0.0005052079999999792,0.0004912089999999925
0.94,0.000544082999999973,0.00047641700000000675,0.00044208300000003753,0.0004118749999999505
0.95,0.0006535829999999576,0.0005177920000000169,0.000526208000000028,0.00051974999999993
0.96,0.0006920839999999817,0.0005600000000000049,0.0005204580000000014,0.0005012500000000086
0.97,0.0005704170000000452,0.0005050840000000445,0.00046129200000000203,0.00044524999999995263
0.98,0.0005537079999999861,0.00046083399999996555,0.0004527080000000794,0.0004428749999999537
0.99,0.0005717920000000154,0.0004837920000000384,0.0004657919999999649,0.00043854200000004173
